companyid,locationid,rowcount
org-38ce5a94-18db-40ef-afbf-d5988bed091a,loc-0157ddfc-5ed5-434f-8dfc-43d0ef0e4f58,339746
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-dbc483d3-5c52-4dc5-95c5-dac1fd01e5ad,335369
org-d7a82a2f-b933-4459-8a1e-91a605df80f7,loc-412da9ef-ff8f-4a5b-b912-b05cb4c4d366,334805
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-c23b1f84-d235-42c5-9aab-6aff630e2e0f,333317
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-9a9ffb5c-7476-4916-98fe-0538bd17342e,331451
org-5cf80db5-7a28-4dcf-846b-8cdf5f362269,loc-4d0416dd-1e8d-4c88-ae10-883df6979d69,330791
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-c9fb106a-950b-4f23-a7c5-da7029c6aed1,330288
org-5834d77c-4c45-4f98-a110-4c0fcd977490,loc-f61b4486-4233-4d83-918b-b024bf3e6fd6,329755
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-1f85c6c2-bb4a-4f9a-baa8-b2dcf093ed75,326478
org-7bd17b79-edd7-48bf-b655-dd2fbb1650a7,loc-43bf64a7-6bc0-4a7a-ae4c-db21c12d4748,323962
org-668e8d67-584b-4d48-8612-9ddec5f0818c,loc-00e66d91-b241-4f86-bacb-ef72559d1b61,323675
